Holidays,Beaches,Bars,Safer_At_Home,Restaurants,METier,Masks
0,1,6,0,3,4,0
0,1,7,0,4,4,0
0,2,8,1,5,4,0
0,2,9,1,6,4,0
0,3,10,2,7,4,0
0,3,11,2,8,4,0
0,4,12,3,9,4,0
0,4,13,3,10,4,0
0,4,14,4,11,4,0
0,4,14,4,12,4,0
0,5,14,5,13,4,0
0,6,14,5,14,4,0
0,7,14,6,14,4,0
0,8,14,6,14,4,0
0,9,14,7,14,4,1
0,10,14,7,14,4,2
0,11,14,8,14,5,3
0,12,14,8,14,5,4
0,13,14,9,14,5,5
0,14,14,10,14,5,6
0,14,14,11,14,6,7
0,14,14,12,14,6,8
0,14,14,13,14,6,9
0,14,14,14,14,6,10
0,14,14,14,14,7,11
0,14,14,14,14,7,12
0,14,14,14,14,7,13
0,13,14,14,14,7,14
0,13,14,14,14,8,14
0,12,14,14,14,8,14
0,12,14,14,14,8,14
0,11,14,14,14,8,14
0,11,14,14,14,9,14
0,10,14,14,14,9,14
0,10,14,14,14,9,14
0,10,14,14,14,9,14
0,10,14,14,14,10,14
0,10,14,14,14,10,14
0,10,14,14,14,10,14
0,10,14,14,14,10,14
0,10,14,14,14,10,14
0,10,14,14,14,10,14
0,10,14,14,14,10,14
0,9,14,14,13,10,14
0,8,14,13,12,9,14
0,7,14,12,11,9,14
0,6,14,11,10,9,14
0,5,14,10,10,9,14
0,4,14,9,10,8,14
0,3,14,8,10,8,14
0,2,14,7,10,8,14
0,1,14,6,10,8,14
0,0,14,5,10,7,14
0,0,14,4,10,7,14
0,0,14,3,10,7,14
0,0,14,2,10,7,14
0,0,14,1,10,7,14
0,0,14,0,9,7,14
0,0,14,0,8,7,14
0,0,14,0,7,7,14
0,0,14,0,7,7,14
0,0,14,0,7,7,14
1,0,14,0,7,7,14
2,0,14,0,7,7,14
3,0,14,0,7,7,14
4,0,14,0,7,6,14
5,0,14,0,7,6,14
6,0,14,0,7,6,14
7,0,14,0,7,6,14
8,0,14,0,7,5,14
9,0,14,0,7,5,14
10,0,14,0,7,5,14
11,0,14,0,7,5,14
12,0,13,0,7,4,14
13,0,12,0,7,4,14
14,0,11,0,7,4,14
14,0,10,0,7,4,14
14,0,9,0,7,4,14
0,0,8,0,7,4,14
0,0,7,0,7,4,14
0,0,7,0,7,4,14
0,0,7,0,7,4,14
0,0,7,0,7,4,14
0,0,7,0,7,4,14
0,0,7,0,7,4,14
0,0,7,0,7,4,14
0,0,7,0,7,4,14
0,0,7,0,7,4,14
0,0,7,0,7,4,14
0,0,7,0,7,4,14
0,0,7,0,7,4,14
0,0,7,0,7,4,14
0,0,7,0,7,4,14
0,0,7,0,7,4,14
0,0,7,0,7,4,14
0,0,7,0,7,4,14
0,0,8,0,7,4,14
0,1,9,0,7,4,14
0,2,10,0,7,4,14
0,3,11,0,7,4,14
0,4,12,0,7,4,14
0,5,13,0,7,4,14
0,6,14,0,7,4,14
1,7,14,0,7,4,14
2,7,14,0,7,4,14
3,7,14,0,7,4,14
4,7,14,0,7,5,14
5,7,14,0,7,5,14
6,7,14,0,7,5,14
7,7,14,0,7,5,14
8,7,14,0,7,6,14
9,7,14,0,7,6,14
10,7,14,0,7,6,14
11,7,14,0,7,6,14
12,7,14,0,7,7,14
13,7,14,0,7,7,14
14,7,14,0,7,7,14
14,7,14,0,7,7,14
14,7,14,0,7,7,14
14,7,14,0,7,7,14
0,7,14,0,7,7,14
0,7,14,0,7,7,14
0,7,14,0,7,7,14
0,7,14,0,7,7,14
0,7,14,0,7,7,14
0,7,14,0,7,7,14
0,7,14,0,7,7,14
0,7,14,0,7,7,14
0,7,14,0,7,7,14
0,7,14,0,7,7,14
0,7,14,0,7,7,14
0,7,14,0,7,7,14
0,7,14,0,7,7,14
0,7,14,0,7,7,14
0,7,14,0,7,7,14
0,7,14,0,7,7,14
0,7,14,0,7,7,14
0,7,14,0,7,7,14
0,7,14,0,7,7,14
0,7,14,0,7,7,14
0,7,14,0,7,7,14
0,7,14,0,7,7,14
